	d
ambiguous	454543
IGHD1-1*01	64198
IGHD2-9*02	6032
IGHD2-6*01	3510
IGHD2-3*01	3314
IGHD2-8*01	2266
IGHD2-14*01	1118
IGHD2-7*01	1008
IGHD3-2*02	954
IGHD1-1*02	724
IGHD2-11*02	715
IGHD1-2*01	681
IGHD2-9*01	512
IGHD3-2*01	340
IGHD3-1*01	99
IGHD2-11*01	75
IGHD2-13*01	4
IGHD2-12*01	1
