	vj_ins_len
0	2095
1	3278
2	3526
3	9589
4	12665
5	12738
6	18494
7	24169
8	14450
9	16973
10	18835
11	20491
12	16834
13	25930
14	24356
15	27533
16	30102
17	28275
18	27462
19	28059
20	23835
21	16322
22	20076
23	18975
24	18389
25	15009
26	10815
27	5790
28	14093
29	7453
30	5435
31	11205
32	1432
33	1225
34	1515
35	596
36	578
37	855
38	139
39	57
40	30
41	48
42	10
43	28
44	88
45	6
46	5
47	42
48	7
49	7
50	5
51	5
52	18
53	5
54	4
55	8
56	4
57	2
58	9
59	5
60	1
61	3
62	3
63	5
65	2
67	6
68	2
69	1
71	1
73	4
74	1
76	1
79	4
81	6
83	1
85	5
90	1
93	1
94	5
95	6
97	2
98	1
99	3
102	2
105	6
110	4
111	2
113	1
115	1
125	19
126	1
130	2
153	1
170	6
