	v
IGHV1-72*01	29568
IGHV1-53*01	24809
IGHV1-80*01	22549
IGHV1-55*01	21449
IGHV1-9*01	17631
IGHV1-26*01	16686
IGHV9-3*01	15271
IGHV1-64*01	14973
IGHV3-2*02	14153
IGHV1-52*01	13495
IGHV1-15*01	12418
IGHV3-6*02	11988
IGHV1-82*01	11013
IGHV3-6*01	10685
IGHV1-76*01	9707
IGHV2-3*01	8844
IGHV1-74*01	8617
IGHV1-69*01	8151
IGHV14-4*01	7102
IGHV8-12*01	6822
IGHV1-78*01	6490
IGHV4-1*02	6343
IGHV2-9-1*01	6050
IGHV14-3*01	5591
IGHV1-61*01	5157
IGHV8-8*01	5090
IGHV9-2-1*01	5088
IGHV2-5*01	5051
IGHV14-2*01	4783
IGHV7-3*01	4666
IGHV2-2*02	4477
IGHV1-50*01	4455
IGHV1-69*02	4335
IGHV1-58*01	4319
IGHV1-71*01	4238
IGHV1-81*01	4211
IGHV4-1*01	4105
IGHV1-22*01	4105
IGHV9-3-1*01	4092
IGHV11-2*02	3976
IGHV1-12*01	3945
IGHV14-3*02	3710
IGHV1-59*01	3709
IGHV1-87*01	3597
IGHV7-3*02	3537
IGHV1-85*01	3527
IGHV1-5*01	3426
IGHV5-17*01	3358
IGHV1-75*01	3345
IGHV1-74*04	3235
IGHV1-18*01	3224
IGHV1-19*01	3180
IGHV1-14*01	3048
IGHV5-9-1*02	3033
IGHV2-2*01	2998
IGHV6-6*01	2895
IGHV9-1*01	2806
IGHV1S81*02	2805
IGHV1-54*01	2578
IGHV5-16*01	2557
IGHV6-3*01	2554
IGHV9-4*01	2507
IGHV5-17*02	2452
IGHV1-47*01	2421
IGHV5-6-1*01	2231
IGHV9-3*02	2167
IGHV1-39*01	2095
IGHV5-6-5*01	2064
IGHV2-9*02	2043
IGHV10-1*01	2032
IGHV1-66*01	1887
IGHV1S56*01	1869
IGHV14-1*01	1827
IGHV5-4*02	1786
IGHV10-3*01	1729
IGHV11-2*01	1703
IGHV9-1*02	1699
IGHV1S22*01	1624
IGHV5-9-1*01	1610
IGHV6-6*02	1544
IGHV10-1*02	1439
IGHV8-5*01	1403
IGHV5-4*01	1314
IGHV1S137*01	1241
IGHV3-1*01	1228
IGHV14-1*02	1227
IGHV5-12*01	1168
IGHV9-4*02	1161
IGHV3-1*02	1154
IGHV1-4*01	1107
IGHV2-6-2*01	1106
IGHV5-2*01	1090
IGHV5-15*02	1087
IGHV10S3*01	1056
IGHV1-77*01	1044
IGHV14-4*02	1029
IGHV5-6-3*01	990
IGHV2-6-5*01	949
IGHV1S127*01	913
IGHV5-12-1*01	907
IGHV5-7-4*01	899
IGHV1-7*01	876
IGHV1-63*01	852
IGHV1-42*01	847
IGHV1S135*01	839
IGHV12-3*02	811
IGHV7-2*02	809
IGHV1-34*02	772
IGHV2-5-1*01	729
IGHV1S130*01	679
IGHV1-36*01	642
IGHV5-6-4*01	629
IGHV1S34*01	629
IGHV2-6-7*01	626
IGHV1S53*02	619
IGHV5-9*01	594
IGHV2-9-2*01	583
IGHV1-63*02	580
IGHV1S29*02	578
IGHV2-6*02	566
IGHV5-9-3*01	566
IGHV5-9-4*01	552
IGHV2-4-1*01	534
IGHV2-6-1*01	499
IGHV5-9*02	496
IGHV5-6-2*01	496
IGHV1-67*01	475
IGHV1-34*01	468
IGHV7-1*03	466
IGHV13-2*01	437
IGHV1S16*01	419
IGHV1-84*01	419
IGHV1-37*01	406
IGHV5-12*02	400
IGHV1-84*02	364
IGHV2-6-4*01	351
IGHV1S136*01	348
IGHV9-2*01	312
IGHV1-31*01	284
IGHV1S41*01	278
IGHV1-56*01	278
IGHV4-2*02	261
IGHV2-6*03	253
IGHV3-8*01	245
IGHV2-4*02	238
IGHV1-4*02	238
IGHV2-6-8*01	232
