	ERR849859	ERR849860
1000	402.777	402.361
2000	576.805	577.11
3000	697.103	696.763
4000	791.218	791.647
5000	869.362	870.765
6000	938.976	939.349
7000	998.142	999.295
8000	1054.387	1055.246
9000	1104.287	1105.117
10000	1151.996	1152.605
20000	1494.494	1495.552
40000	1910.715	1912.033
60000	2188.767	2192.724
80000	2402.355	2407.956
100000	2574.756	2581.814
200000	3140.723	3164.722
300000	3483.471	3517.666
400000	3727.85	3767.732
500000	3915.179	3957.531
540094	NA	4022.0
588607	4052.0	NA
