	ERR849859	ERR849860
1000	402.872	402.845
2000	577.284	576.343
3000	696.389	697.592
4000	789.891	792.393
5000	870.426	871.416
6000	938.413	939.822
7000	999.412	1000.036
8000	1054.478	1055.386
9000	1104.527	1104.622
10000	1151.33	1151.64
20000	1495.796	1495.993
40000	1910.053	1912.483
60000	2189.084	2192.317
80000	2401.886	2405.984
100000	2574.583	2581.721
200000	3139.913	3162.667
300000	3483.847	3516.925
400000	3726.838	3768.131
500000	3916.088	3957.723
540094	NA	4022.0
588607	4052.0	NA
