	nucl_len
0.0	9
3.0	1
4.0	4
5.0	3
6.0	24
7.0	10
8.0	28
9.0	29
10.0	19
11.0	45
12.0	296
13.0	15
14.0	55
15.0	9901
16.0	64
17.0	253
18.0	13749
19.0	137
20.0	300
21.0	18745
22.0	216
23.0	316
24.0	16128
25.0	243
26.0	448
27.0	28217
28.0	286
29.0	743
30.0	36709
31.0	374
32.0	852
33.0	70747
34.0	550
35.0	878
36.0	54374
37.0	578
38.0	1088
39.0	59749
40.0	613
41.0	696
42.0	48520
43.0	430
44.0	512
45.0	23588
46.0	241
47.0	377
48.0	16549
49.0	222
50.0	457
51.0	11727
52.0	57
53.0	81
54.0	3053
55.0	61
56.0	32
57.0	1110
58.0	7
59.0	28
60.0	819
61.0	6
62.0	1
63.0	54
64.0	1
66.0	7
68.0	1
69.0	59
71.0	1
137.0	1
162.0	11
164.0	2
330.0	1
333.0	4
336.0	3
342.0	1
345.0	22
354.0	1
372.0	1
