	ERR849859	ERR849860
IGHJ4*01	184244	168198
IGHJ2*01	161269	147553
IGHJ3*01	138977	127530
IGHJ1*03	74716	70016
IGHJ1*01	25206	22942
IGHJ3*02	1974	1811
IGHJ2*02	1773	1607
IGHJ2*03	433	418
IGHJ1*02	15	19
