	v	d	j	frequency
115	IGHV1-76*01	NA	IGHJ1*03	1080
116	IGHV1-5*01	NA	IGHJ3*01	1079
117	IGHV8-8*01	NA	IGHJ4*01	1071
118	IGHV6-3*01	NA	IGHJ2*01	1067
119	IGHV14-2*01	NA	IGHJ3*01	1061
120	IGHV4-1*01	NA	IGHJ4*01	1056
121	IGHV1-18*01	NA	IGHJ4*01	1047
122	IGHV2-2*01	NA	IGHJ4*01	1035
123	IGHV2-5*01	IGHD1-1*01	IGHJ4*01	1032
124	IGHV5-17*02	NA	IGHJ4*01	1028
125	IGHV14-3*02	NA	IGHJ4*01	974
126	IGHV8-8*01	NA	IGHJ3*01	970
127	IGHV1-85*01	NA	IGHJ2*01	966
128	IGHV9-3*02	NA	IGHJ2*01	966
129	IGHV10-1*01	NA	IGHJ4*01	962
130	IGHV14-3*01	NA	IGHJ4*01	955
131	IGHV9-4*01	NA	IGHJ1*03	932
132	IGHV1-14*01	NA	IGHJ2*01	929
133	IGHV1-71*01	NA	IGHJ3*01	926
134	IGHV9-3-1*01	NA	IGHJ2*01	917
135	IGHV5-16*01	NA	IGHJ2*01	906
136	IGHV1-58*01	NA	IGHJ2*01	896
137	IGHV9-2-1*01	NA	IGHJ2*01	895
138	IGHV1S81*02	NA	IGHJ4*01	895
139	IGHV1S81*02	NA	IGHJ3*01	895
140	IGHV1-50*01	NA	IGHJ3*01	887
141	IGHV7-3*02	NA	IGHJ4*01	886
142	IGHV1-69*01	NA	IGHJ3*01	884
143	IGHV1-75*01	NA	IGHJ1*03	880
144	IGHV1-74*01	NA	IGHJ1*03	874
145	IGHV2-2*02	NA	IGHJ2*01	870
146	IGHV1-12*01	NA	IGHJ4*01	868
147	IGHV1-9*01	NA	IGHJ1*03	856
148	IGHV1-69*02	NA	IGHJ4*01	847
149	IGHV14-1*01	NA	IGHJ2*01	832
150	IGHV5-6-5*01	NA	IGHJ3*01	831
151	IGHV1-74*04	NA	IGHJ4*01	831
152	IGHV4-1*02	NA	IGHJ4*01	820
153	IGHV2-5*01	NA	IGHJ3*01	817
154	IGHV14-3*02	NA	IGHJ2*01	816
155	IGHV1-69*01	NA	IGHJ1*03	814
156	IGHV1-15*01	NA	IGHJ3*01	812
157	IGHV8-12*01	NA	IGHJ2*01	811
158	IGHV5-15*02	NA	IGHJ4*01	806
159	IGHV5-12*01	NA	IGHJ4*01	801
160	IGHV9-4*02	NA	IGHJ4*01	794
161	IGHV1-66*01	NA	IGHJ2*01	787
162	IGHV1-53*01	IGHD1-1*01	IGHJ2*01	784
163	IGHV1-74*04	NA	IGHJ2*01	778
164	IGHV1-19*01	NA	IGHJ4*01	768
165	IGHV1-22*01	NA	IGHJ2*01	768
166	IGHV8-5*01	NA	IGHJ3*01	752
167	IGHV2-2*02	NA	IGHJ1*01	743
168	IGHV10-3*01	NA	IGHJ4*01	735
169	IGHV1-5*01	NA	IGHJ2*01	732
170	IGHV1-26*01	IGHD1-1*01	IGHJ2*01	732
171	IGHV1-12*01	NA	IGHJ2*01	726
172	IGHV1-72*01	IGHD1-1*01	IGHJ4*01	724
173	IGHV1S22*01	NA	IGHJ4*01	720
174	IGHV2-9-1*01	NA	IGHJ1*03	719
175	IGHV1-69*02	NA	IGHJ2*01	715
176	IGHV1-59*01	NA	IGHJ4*01	712
177	IGHV9-1*02	NA	IGHJ4*01	705
178	IGHV5-9-1*01	IGHD1-1*01	IGHJ4*01	700
179	IGHV1-26*01	IGHD1-1*01	IGHJ1*03	699
180	IGHV1-55*01	IGHD1-1*01	IGHJ4*01	696
181	IGHV1-4*01	NA	IGHJ2*01	695
182	IGHV1-82*01	NA	IGHJ1*03	689
183	IGHV1-75*01	NA	IGHJ2*01	681
184	IGHV1-14*01	NA	IGHJ3*01	675
185	IGHV1-22*01	IGHD1-1*01	IGHJ4*01	671
186	IGHV1-59*01	NA	IGHJ2*01	665
187	IGHV1-71*01	NA	IGHJ1*03	658
188	IGHV12-3*02	NA	IGHJ1*01	651
189	IGHV1-47*01	NA	IGHJ4*01	651
190	IGHV2-2*01	NA	IGHJ2*01	646
191	IGHV14-4*01	NA	IGHJ3*01	641
192	IGHV7-3*02	NA	IGHJ3*01	638
