	ERR849859	ERR849860
ambiguous	496290	454543
IGHD1-1*01	69177	64198
IGHD2-9*02	6621	6032
IGHD2-6*01	3829	3510
IGHD2-3*01	3482	3314
IGHD2-8*01	2516	2266
IGHD2-14*01	1259	1118
IGHD2-7*01	1119	1008
IGHD3-2*02	1039	954
IGHD1-1*02	754	724
IGHD1-2*01	776	681
IGHD2-11*02	663	715
IGHD2-9*01	543	512
IGHD3-2*01	368	340
IGHD3-1*01	94	99
IGHD2-11*01	72	75
IGHD2-13*01	4	4
IGHD2-12*01	1	1
