	v_del_len
0	356835
1	75164
2	63990
3	46897
4	23948
5	12170
6	6176
7	1604
8	508
9	298
10	98
11	85
12	52
13	52
14	46
15	16
16	40
17	19
18	110
19	8
20	14
21	53
22	14
23	16
24	14
25	3
26	9
27	3
28	2
29	7
30	4
31	2
32	6
33	1
35	4
36	7
37	13
38	3
39	5
40	3
41	7
42	3
43	10
44	1
45	3
46	4
48	2
49	1
50	8
51	13
52	50
54	13
56	7
57	1
58	1
59	4
60	5
62	1
63	3
64	1
65	1
68	1
69	1
70	3
73	1
75	6
76	1
77	1
79	4
80	8
81	5
82	3
83	1
85	7
87	3
89	1
90	4
93	9
95	1
96	1
99	3
100	8
101	1
103	1
105	12
107	2
108	6
110	2
115	14
117	5
118	3
120	1
121	6
122	1
124	2
134	6
135	1
136	10
137	2
139	1
143	5
145	1
146	1
154	8
163	1
169	2
171	1
282	2
