	j_del_len
0	132206
1	39045
2	54779
3	54469
4	60665
5	51164
6	27472
7	24956
8	41466
9	18020
10	11314
11	7397
12	7203
13	4776
14	1867
15	276
16	1992
17	223
18	165
19	209
20	67
21	54
22	95
23	33
24	127
25	13
26	8
27	9
28	3
29	5
30	4
31	12
