	j
IGHJ4*01	184244
IGHJ2*01	161269
IGHJ3*01	138977
IGHJ1*03	74716
IGHJ1*01	25206
IGHJ3*02	1974
IGHJ2*02	1773
IGHJ2*03	433
IGHJ1*02	15
