	prot_len
0	163076
1	8
2	62
3	93
4	366
5	10218
6	14186
7	19277
8	16819
9	29246
10	37935
11	72175
12	56040
13	61058
14	49462
15	24206
16	17228
17	11865
18	3146
19	1145
20	826
21	55
22	8
23	60
45	1
54	13
110	1
111	4
112	3
114	1
115	22
118	1
124	1
