	prot_len
0.0	11
1.0	10
2.0	50
3.0	71
4.0	373
5.0	9378
6.0	13382
7.0	17528
8.0	15566
9.0	26722
10.0	35094
11.0	63973
12.0	51674
13.0	56059
14.0	45706
15.0	22720
16.0	16158
17.0	10840
18.0	3009
19.0	1015
20.0	733
21.0	49
22.0	13
23.0	50
45.0	1
50.0	1
53.0	2
54.0	9
55.0	1
111.0	2
113.0	2
114.0	5
115.0	4
116.0	1
117.0	1
