	v_del_len
0	331906
1	68492
2	57887
3	40102
4	22173
5	10839
6	5624
7	1382
8	466
9	259
10	98
11	61
12	58
13	59
14	44
15	22
16	23
17	15
18	101
19	12
20	12
21	59
22	3
23	27
24	8
25	5
26	10
27	1
29	6
30	2
31	3
32	10
33	1
34	1
35	5
36	8
37	13
38	5
40	6
41	4
42	2
43	5
44	4
45	2
46	2
47	1
48	3
49	6
50	5
51	19
52	36
53	1
54	12
56	8
57	1
59	6
60	1
62	4
63	1
64	1
67	2
68	2
70	8
71	1
73	2
75	5
76	1
77	1
79	3
80	3
81	6
82	1
84	1
85	5
87	2
90	5
93	9
96	1
99	2
100	12
105	9
107	1
108	7
110	1
112	1
115	6
117	8
118	7
121	6
122	7
124	2
132	1
134	5
135	1
136	3
139	1
142	1
143	2
144	1
146	3
153	1
154	6
161	1
169	2
171	1
282	6
