	d
ambiguous	496290
IGHD1-1*01	69177
IGHD2-9*02	6621
IGHD2-6*01	3829
IGHD2-3*01	3482
IGHD2-8*01	2516
IGHD2-14*01	1259
IGHD2-7*01	1119
IGHD3-2*02	1039
IGHD1-2*01	776
IGHD1-1*02	754
IGHD2-11*02	663
IGHD2-9*01	543
IGHD3-2*01	368
IGHD3-1*01	94
IGHD2-11*01	72
IGHD2-13*01	4
IGHD2-12*01	1
