	prot_len
0.0	9
1.0	8
2.0	62
3.0	93
4.0	366
5.0	10218
6.0	14186
7.0	19277
8.0	16819
9.0	29246
10.0	37935
11.0	72175
12.0	56040
13.0	61058
14.0	49462
15.0	24206
16.0	17228
17.0	11865
18.0	3146
19.0	1145
20.0	826
21.0	55
22.0	8
23.0	60
45.0	1
54.0	13
110.0	1
111.0	4
112.0	3
114.0	1
115.0	22
118.0	1
124.0	1
