	prot_len
0.0	23
1.0	2
2.0	29
3.0	198
4.0	407
5.0	679
6.0	3251
7.0	5270
8.0	3990
9.0	5936
10.0	13821
11.0	19841
12.0	33757
13.0	32929
14.0	33173
15.0	31023
16.0	32686
17.0	23699
18.0	19653
19.0	13581
20.0	7810
21.0	10333
22.0	5640
23.0	3395
24.0	1033
25.0	808
26.0	157
27.0	62
28.0	77
29.0	15
30.0	8
55.0	1
56.0	13
57.0	51
58.0	1
59.0	1
62.0	3
63.0	42
64.0	1
74.0	1
