	N152	IAVI84
1000	374.293	252.43
2000	549.165	360.535
3000	679.437	435.539
4000	784.788	495.244
5000	874.802	543.288
6000	954.32	586.457
7000	1027.765	623.834
8000	1093.18	656.071
9000	1153.291	687.82
10000	1209.371	715.291
20000	1632.213	916.872
40000	2153.143	1152.177
60000	2506.271	1311.833
80000	2777.49	1436.397
100000	3002.802	1542.303
200000	3789.483	1917.989
238407	NA	2027.0
300000	4314.742	NA
400000	4719.089	NA
472612	4967.0	NA
