	v	d	j	frequency
65	Z14214|IGHV1-69*13|Homo	X93615|IGHD3-10*02|Homo	X86355|IGHJ6*02|Homo	623
66	X62106|IGHV1-2*02|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ5*02|Homo	617
67	M99641|IGHV1-18*01|Homo	X97051|IGHD6-19*01|Homo	X86355|IGHJ5*02|Homo	616
68	HM855457|IGHV1-8*02|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ4*02|Homo	581
69	X62106|IGHV1-2*02|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ5*02|Homo	565
70	KF698734|IGHV1-69-2*01|Homo	NA	X86355|IGHJ5*02|Homo	557
71	AB019438|IGHV1-58*02|Homo	NA	X86355|IGHJ4*02|Homo	555
72	HM855457|IGHV1-8*02|Homo	X13972|IGHD3-10*01|Homo	X86356|IGHJ6*03|Homo	541
73	M99642|IGHV1-24*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ4*02|Homo	537
74	KC713948|IGHV1-69*14|Homo	NA	X86356|IGHJ6*03|Homo	536
75	M99641|IGHV1-18*01|Homo	NA	J00256|IGHJ2*01|Homo	531
76	KC713934|IGHV1-69D*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ4*02|Homo	516
77	Z14214|IGHV1-69*13|Homo	NA	X86356|IGHJ6*03|Homo	515
78	X62106|IGHV1-2*02|Homo	NA	J00256|IGHJ1*01|Homo	502
79	X62106|IGHV1-2*02|Homo	X97051|IGHD4-17*01|Homo	X86355|IGHJ6*02|Homo	477
80	KC713938|IGHV1-18*04|Homo	NA	X86355|IGHJ4*02|Homo	475
81	X92343|IGHV1-46*01|Homo	NA	X86356|IGHJ6*03|Homo	454
82	Z14214|IGHV1-69*13|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ5*02|Homo	439
83	X92343|IGHV1-46*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ4*02|Homo	438
84	M99641|IGHV1-18*01|Homo	X97051|IGHD1-26*01|Homo	X86356|IGHJ6*03|Homo	429
85	M99641|IGHV1-18*01|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ4*02|Homo	424
86	HM855457|IGHV1-8*02|Homo	M35648|IGHD2-2*03|Homo	X86355|IGHJ5*02|Homo	414
87	KF698734|IGHV1-69-2*01|Homo	NA	X86356|IGHJ6*03|Homo	414
88	KF698734|IGHV1-69-2*01|Homo	NA	X86355|IGHJ3*02|Homo	412
89	KC713934|IGHV1-69D*01|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ4*02|Homo	411
90	M99641|IGHV1-18*01|Homo	NA	J00256|IGHJ1*01|Homo	406
91	X62106|IGHV1-2*02|Homo	X97051|IGHD2-21*02|Homo	X86355|IGHJ4*02|Homo	405
92	KC713934|IGHV1-69D*01|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ5*02|Homo	404
93	M99642|IGHV1-24*01|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ4*02|Homo	399
94	AB019438|IGHV1-58*02|Homo	NA	X86355|IGHJ3*02|Homo	394
95	M99637|IGHV1-8*01|Homo	NA	X86355|IGHJ3*02|Homo	391
96	M99641|IGHV1-18*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ6*02|Homo	386
97	Z14214|IGHV1-69*13|Homo	X97051|IGHD6-19*01|Homo	X86355|IGHJ4*02|Homo	382
98	X62106|IGHV1-2*02|Homo	X93616|IGHD3-22*01|Homo	J00256|IGHJ2*01|Homo	379
99	M99641|IGHV1-18*01|Homo	X97051|IGHD6-19*01|Homo	X86356|IGHJ6*03|Homo	376
100	M99641|IGHV1-18*01|Homo	X97051|IGHD6-19*01|Homo	X86355|IGHJ3*02|Homo	373
101	Z14214|IGHV1-69*13|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ4*02|Homo	366
102	Z14300|IGHV1-69*10|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ4*02|Homo	365
103	X62106|IGHV1-2*02|Homo	X13972|IGHD5-5*01|Homo	X86355|IGHJ4*02|Homo	364
104	M99641|IGHV1-18*01|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ4*02|Homo	364
105	Z14296|IGHV1-69*11|Homo	NA	AJ879487|IGHJ6*04|Homo	354
106	M99641|IGHV1-18*01|Homo	X13972|IGHD3-9*01|Homo	X86356|IGHJ6*03|Homo	352
107	M99637|IGHV1-8*01|Homo	NA	X86356|IGHJ6*03|Homo	351
108	Z14300|IGHV1-69*10|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ4*02|Homo	348
109	KF698733|IGHV1-2*04|Homo	NA	X86355|IGHJ4*02|Homo	347
110	Z14214|IGHV1-69*13|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ3*02|Homo	346
111	M99641|IGHV1-18*01|Homo	X97051|IGHD3-16*02|Homo	X86356|IGHJ6*03|Homo	330
112	X92343|IGHV1-46*01|Homo	NA	X86355|IGHJ5*02|Homo	328
113	X62106|IGHV1-2*02|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ4*02|Homo	323
114	Z14214|IGHV1-69*13|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ6*02|Homo	317
115	X62106|IGHV1-2*02|Homo	X97051|IGHD1-26*01|Homo	X86355|IGHJ4*02|Homo	312
116	HM855457|IGHV1-8*02|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ4*02|Homo	312
117	X62106|IGHV1-2*02|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ3*02|Homo	311
118	M99642|IGHV1-24*01|Homo	NA	J00256|IGHJ3*01|Homo	310
119	L06612|IGHV1-46*03|Homo	NA	X86355|IGHJ5*02|Homo	306
120	M99641|IGHV1-18*01|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ3*02|Homo	306
121	M99641|IGHV1-18*01|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ6*02|Homo	306
122	Z14300|IGHV1-69*10|Homo	NA	AJ879487|IGHJ6*04|Homo	303
123	Z14214|IGHV1-69*13|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ3*02|Homo	303
124	Z14214|IGHV1-69*13|Homo	J00234|IGHD2-15*01|Homo	X86355|IGHJ6*02|Homo	298
125	Z14214|IGHV1-69*13|Homo	J00234|IGHD2-15*01|Homo	X86355|IGHJ5*02|Homo	294
126	HM855457|IGHV1-8*02|Homo	NA	J00256|IGHJ3*01|Homo	290
127	HM855457|IGHV1-8*02|Homo	J00234|IGHD2-15*01|Homo	X86355|IGHJ4*02|Homo	283
128	M99637|IGHV1-8*01|Homo	X13972|IGHD6-13*01|Homo	X86356|IGHJ6*03|Homo	281
129	M99641|IGHV1-18*01|Homo	X13972|IGHD3-10*01|Homo	X86356|IGHJ6*03|Homo	281
130	X62106|IGHV1-2*02|Homo	X97051|IGHD2-21*02|Homo	J00256|IGHJ1*01|Homo	273
131	X62106|IGHV1-2*02|Homo	X97051|IGHD3-16*02|Homo	X86355|IGHJ4*02|Homo	268
132	X62106|IGHV1-2*02|Homo	J00234|IGHD2-15*01|Homo	X86355|IGHJ5*02|Homo	267
133	X62106|IGHV1-2*02|Homo	X93616|IGHD3-22*01|Homo	X86356|IGHJ6*03|Homo	267
134	M99642|IGHV1-24*01|Homo	NA	X86355|IGHJ6*02|Homo	262
135	Z14214|IGHV1-69*13|Homo	NA	J00256|IGHJ3*01|Homo	262
136	KC713938|IGHV1-18*04|Homo	NA	X86355|IGHJ3*02|Homo	261
137	X62106|IGHV1-2*02|Homo	X13972|IGHD3-10*01|Homo	X86356|IGHJ6*03|Homo	260
138	M99641|IGHV1-18*01|Homo	X93616|IGHD3-22*01|Homo	J00256|IGHJ1*01|Homo	256
