	frequency
0	24042
3	10
6	196
9	539
12	206
15	2452
18	693
21	679
24	1524
27	2617
30	5756
33	9757
36	24696
39	22421
42	23338
45	20909
48	19122
51	19880
54	18201
57	13557
60	8915
63	8510
66	3613
69	3630
72	1056
75	1334
78	281
81	265
84	504
87	19
93	1
96	60
99	287
102	119
117	2
189	1
237	27
249	1
264	1
