	frequency
0	116366
3	16
6	76
9	136
12	1341
15	905
18	3272
21	5061
24	4289
27	6478
30	15002
33	25131
36	37258
39	40417
42	40223
45	36692
48	36439
51	28378
54	24006
57	17050
60	10952
63	12023
66	7007
69	3045
72	1309
75	949
78	210
81	95
84	110
87	22
90	13
111	1
120	2
129	1
132	2
135	1
138	6
144	1
147	4
150	1
156	2
159	5
162	139
165	229
168	18
171	10
174	1
183	3
186	4
192	1
219	2
222	1
225	2
228	1
231	3
234	1
237	1
246	6
249	18
258	1
261	1
