	j_del_len
0	54020
1	21153
2	34027
3	41390
4	47275
5	51094
6	38672
7	39196
8	28920
9	13674
10	15461
11	24130
12	7329
13	5007
14	8409
15	4451
16	8200
17	12375
18	2735
19	6313
20	1719
21	4104
22	572
23	1679
24	72
25	114
26	89
27	62
28	176
29	33
30	39
31	59
32	60
35	1
37	1
38	1
