	frequency
X86355|IGHJ4*02|Homo	223118
X86355|IGHJ5*02|Homo	64332
X86355|IGHJ3*02|Homo	39589
X86355|IGHJ6*02|Homo	39433
X86356|IGHJ6*03|Homo	32780
J00256|IGHJ1*01|Homo	19615
J00256|IGHJ2*01|Homo	18775
M25625|IGHJ4*03|Homo	13111
J00256|IGHJ3*01|Homo	11285
AJ879487|IGHJ6*04|Homo	6240
J00256|IGHJ4*01|Homo	3488
J00256|IGHJ6*01|Homo	1521
J00256|IGHJ5*01|Homo	1452
