	j
IGHJ4*02	88761
IGHJ3*02	38979
IGHJ5*02	37007
IGHJ6*02	31531
IGHJ6*03	24007
IGHJ2*01	5569
IGHJ1*01	3799
IGHJ3*01	3361
IGHJ6*04	3043
IGHJ4*03	983
IGHJ4*01	497
IGHJ6*01	449
IGHJ5*01	421
