	j_del_len
0	25489
1	14299
2	17740
3	28041
4	30458
5	21795
6	19673
7	10125
8	12044
9	6509
10	9322
11	7209
12	4748
13	12512
14	2070
15	1300
16	4483
17	3765
18	318
19	1127
20	2558
21	1299
22	566
23	213
24	86
25	407
26	198
27	9
28	5
29	7
30	8
31	15
32	2
33	1
34	1
38	2
39	1
40	1
41	1
