	j
IGHJ4*02	222644
IGHJ5*02	64217
IGHJ6*02	39283
IGHJ3*02	39242
IGHJ6*03	32704
IGHJ1*01	19575
IGHJ2*01	17899
IGHJ4*03	13096
IGHJ3*01	11273
IGHJ6*04	6235
IGHJ4*01	3478
IGHJ6*01	1516
IGHJ5*01	1450
