	N152	IAVI84
1000	374.869	252.395
2000	549.654	359.818
3000	678.792	435.064
4000	783.566	494.002
5000	874.732	543.432
6000	955.604	585.845
7000	1027.809	623.659
8000	1092.47	657.5
9000	1153.968	687.761
10000	1209.951	715.291
20000	1632.153	917.29
40000	2152.323	1152.14
60000	2505.096	1312.174
80000	2777.551	1436.641
100000	3002.257	1541.698
200000	3789.487	1917.966
238407	NA	2027.0
300000	4314.397	NA
400000	4719.139	NA
472612	4967.0	NA
