	frequency
0	24042
1	10
2	196
3	539
4	206
5	2452
6	693
7	679
8	1524
9	2617
10	5756
11	9757
12	24696
13	22421
14	23338
15	20909
16	19122
17	19880
18	18201
19	13557
20	8915
21	8510
22	3613
23	3630
24	1056
25	1334
26	281
27	265
28	504
29	19
31	1
32	60
33	287
34	119
39	2
63	1
79	27
83	1
88	1
