	frequency
X86355|IGHJ4*02|Homo	89019
X86355|IGHJ3*02|Homo	39063
X86355|IGHJ5*02|Homo	37089
X86355|IGHJ6*02|Homo	31675
X86356|IGHJ6*03|Homo	24103
J00256|IGHJ2*01|Homo	5584
J00256|IGHJ1*01|Homo	3824
J00256|IGHJ3*01|Homo	3387
AJ879487|IGHJ6*04|Homo	3073
M25625|IGHJ4*03|Homo	1029
J00256|IGHJ4*01|Homo	498
J00256|IGHJ6*01|Homo	454
J00256|IGHJ5*01|Homo	423
