	frequency
X92271|IGHV4-31*07|Homo	2
X56368|IGHV5-51*03|Homo	2
Z75355|IGHV4-4*06|Homo	2
HM855782|IGHV4-28*06|Homo	2
M77339|IGHV3-30*13|Homo	2
Z75348|IGHV4-61*07|Homo	2
X92229|IGHV4-30-2*03|Homo	2
X92253|IGHV4-4*04|Homo	1
Z75359|IGHV4-59*09|Homo	1
KC713946|IGHV4-30-4*07|Homo	1
M77338|IGHV3-30*12|Homo	1
J00237|IGHV3-52*03|Homo	1
X92268|IGHV4-55*07|Homo	1
X92252|IGHV4-4*03|Homo	1
HM855668|IGHV3/OR16-6*02|Homo	1
HM855418|IGHV4/OR15-8*03|Homo	1
HM855427|IGHV3/OR16-8*02|Homo	1
Z75351|IGHV4-30-2*04|Homo	1
M99408|IGHV3-15*03|Homo	1
Z14296|IGHV1-69*11|Homo	1
Z14214|IGHV1-69*13|Homo	1
M99685|IGHV4-55*01|Homo	1
M99686|IGHV5-51*01|Homo	1
J03617|IGHV3-53*03|Homo	1
