	N152	IAVI84
IGHJ4*02	222644	88761
IGHJ5*02	64217	37007
IGHJ3*02	39242	38979
IGHJ6*02	39283	31531
IGHJ6*03	32704	24007
IGHJ2*01	17899	5569
IGHJ1*01	19575	3799
IGHJ3*01	11273	3361
IGHJ4*03	13096	983
IGHJ6*04	6235	3043
IGHJ4*01	3478	497
IGHJ6*01	1516	449
IGHJ5*01	1450	421
