	frequency
0	116366
1	16
2	76
3	136
4	1341
5	905
6	3272
7	5061
8	4289
9	6478
10	15002
11	25131
12	37258
13	40417
14	40223
15	36692
16	36439
17	28378
18	24006
19	17050
20	10952
21	12023
22	7007
23	3045
24	1309
25	949
26	210
27	95
28	110
29	22
30	13
37	1
40	2
43	1
44	2
45	1
46	6
48	1
49	4
50	1
52	2
53	5
54	139
55	229
56	18
57	10
58	1
61	3
62	4
64	1
73	2
74	1
75	2
76	1
77	3
78	1
79	1
82	6
83	18
86	1
87	1
