	nucl_len
0	43949
3	43
5	2
6	167
7	2
8	23
9	546
10	28
11	14
12	143
13	44
14	26
15	2303
16	59
17	26
18	595
19	21
20	68
21	584
22	28
23	52
24	1152
25	61
26	106
27	2197
28	80
29	273
30	4774
31	175
32	410
33	7928
34	245
35	646
36	11902
37	495
38	10883
39	19197
40	618
41	951
42	19470
43	440
44	992
45	16907
46	430
47	1358
48	14792
49	651
50	1379
51	16419
52	861
53	1292
54	13957
55	510
56	1852
57	10723
58	418
59	689
60	6518
61	255
62	786
63	6180
64	612
65	887
66	2731
67	119
68	269
69	2559
70	146
71	107
72	838
73	59
74	76
75	1047
76	23
77	49
78	227
79	14
80	13
81	48
82	5
83	181
84	240
85	32
86	29
87	13
96	7
98	10
99	267
100	2
101	10
102	91
103	1
