	simdata
100	99.696
200	198.72
300	296.978
400	394.679
500	491.927
600	588.359
700	684.577
800	779.682
900	873.733
1000	968.137
2000	1878.821
4000	3555.578
6000	5073.646
8000	6466.756
10000	7761.836
20000	13248.516
30000	17777.773
40000	21729.014
50000	25250.858
60000	28418.919
70000	31280.003
80000	33873.332
90000	36224.755
97878	37929.0
