	frequency
0	35149
6	2
9	5
12	45
15	176
18	598
21	1398
24	2781
27	4438
30	5498
33	5067
36	5201
39	7158
42	8548
45	7016
48	4032
51	3168
54	3271
57	2445
60	1191
63	501
66	125
69	22
72	4
75	2
90	1
105	1
123	1
132	2
135	1
138	2
141	2
144	2
147	1
156	1
159	1
162	1
165	2
168	2
180	2
186	1
195	3
204	3
207	4
210	6
213	5
216	4
219	5
222	4
225	6
228	4
231	3
234	2
237	4
240	1
243	1
252	1
303	1
306	1
309	1
