	simdata
100	99.68
200	198.701
300	297.01
400	394.713
500	491.778
600	588.571
700	684.204
800	779.56
900	874.221
1000	968.251
2000	1879.605
4000	3554.895
6000	5072.097
8000	6466.469
10000	7759.617
20000	13250.428
30000	17778.108
40000	21731.284
50000	25249.16
60000	28420.472
70000	31281.771
80000	33872.676
90000	36223.196
97878	37929.0
