	simdata
0	94
1	53
2	103
3	127
4	209
5	437
6	714
7	1005
8	1252
9	1555
10	2029
11	2473
12	3200
13	3926
14	4537
15	4763
16	4628
17	4209
18	3839
19	3292
20	2914
21	2378
22	2191
23	2572
24	3275
25	4355
26	5425
27	6123
28	5854
29	5284
30	3839
31	2805
32	2072
33	1565
34	1306
35	1014
36	754
37	464
38	326
39	196
40	161
41	96
42	84
43	62
44	52
45	40
46	33
47	32
48	35
49	31
50	20
51	11
52	18
53	10
54	10
55	6
56	6
58	3
59	2
61	2
66	1
67	1
68	1
69	1
110	1
117	1
262	1
