	simdata
0	4137
1	2594
2	4178
3	4824
4	8032
5	12574
6	15207
7	15565
8	12900
9	8836
10	5043
11	2434
12	972
13	326
14	119
15	56
16	45
17	15
18	8
19	5
20	2
21	3
22	1
23	1
26	1
