	simdata
0	14112
1	21914
2	29787
3	18066
4	6442
5	2318
6	1096
7	597
8	340
9	382
10	310
11	337
12	230
13	276
14	286
15	261
16	255
17	135
18	117
19	84
20	86
21	63
22	52
23	61
24	26
25	44
26	26
27	25
28	17
29	12
30	24
31	23
32	13
33	8
34	7
35	3
36	2
37	1
38	1
39	5
40	8
41	9
42	2
50	1
51	2
58	1
59	1
60	1
62	2
64	1
66	1
68	1
82	1
106	1
154	1
155	1
