	prot_len
0	67692
2	2
3	3
4	5
5	63
6	242
7	647
8	1390
9	2218
10	2597
11	2386
12	2432
13	3443
14	4061
15	3341
16	1859
17	1568
18	1652
19	1260
20	605
21	252
22	60
23	13
24	1
25	1
42	1
44	2
45	2
46	2
47	1
48	1
49	1
50	1
51	1
52	3
53	3
54	1
55	5
56	4
58	2
59	2
60	1
65	1
68	5
69	2
70	7
71	5
72	2
73	6
74	4
75	7
76	2
78	3
79	5
82	2
83	1
