	simdata
IGHJ5*02	7923
IGHJ6*04	7889
IGHJ5*01	7857
IGHJ6*02	7774
IGHJ6*03	7714
IGHJ2*01	7712
IGHJ1*01	7669
IGHJ3*01	7452
IGHJ3*02	7374
IGHJ4*02	7315
IGHJ4*03	7302
IGHJ6*01	7231
IGHJ4*01	6666
