	v
IGHV1-5*01	6914
IGHV1-3*01	5547
IGHV4-8*01	4592
IGHV11-2*01	4408
IGHV4-6*01	2872
IGHV4-3*01	2344
IGHV4-1*01	2341
IGHV14-1*01	2340
IGHV2-1*01	2123
IGHV7-1*01	1849
IGHV13-2*01	1782
IGHV8-1*01	1513
IGHV1-2*01	1319
IGHV8-3*01	1146
IGHV2-2*01	1111
IGHV5-1*01	955
IGHV4-5*01	833
IGHV8-4*01	765
IGHV8-2*01	705
IGHV5-5*01	684
IGHV5-2*01	569
IGHV6-2*01	412
IGHV4-2*01	314
IGHV1-4*01	210
IGHV5-7*01	192
IGHV5-4*01	187
IGHV9-2*01	178
IGHV10-1*01	175
IGHV5-3*01	161
IGHV5-8*01	124
IGHV11-1*01	105
IGHV4-9*01	62
IGHV3-2*01	45
IGHV6-1*01	24
IGHV9-3*01	17
IGHV4-7*01	15
IGHV9-4*01	11
IGHV2-3*01	4
IGHV9-1*01	1
