	v
IGHV13-2*01	14555
IGHV1-2*01	7173
IGHV1-3*01	5695
IGHV11-2*01	5296
IGHV14-1*01	4114
IGHV8-3*01	3736
IGHV4-6*01	3672
IGHV4-3*01	3137
IGHV2-1*01	2516
IGHV1-5*01	1505
IGHV4-8*01	1348
IGHV4-1*01	1306
IGHV5-1*01	1245
IGHV2-2*01	1077
IGHV8-4*01	777
IGHV5-5*01	689
IGHV1-4*01	558
IGHV7-1*01	495
IGHV5-7*01	493
IGHV4-5*01	453
IGHV8-1*01	385
IGHV5-3*01	197
IGHV6-2*01	150
IGHV8-2*01	131
IGHV4-9*01	92
IGHV5-4*01	78
IGHV5-2*01	77
IGHV10-1*01	66
IGHV9-2*01	38
IGHV5-8*01	21
IGHV4-7*01	19
IGHV3-2*01	16
IGHV6-1*01	14
IGHV4-2*01	12
IGHV9-4*01	5
IGHV9-3*01	3
IGHV11-1*01	2
IGHV2-3*01	1
