	v	d	j	frequency
0	IGHV1-3*01	NA	IGHJ2-5*01	3324
1	IGHV4-1*01	NA	IGHJ2-1*01	3294
2	IGHV1-3*01	NA	IGHJ2-1*01	1162
3	IGHV4-6*01	NA	IGHJ2-1*01	669
4	IGHV2-1*01	NA	IGHJ2-1*01	542
5	IGHV4-6*01	NA	IGHJ2-4*01	503
6	IGHV4-8*01	NA	IGHJ2-2*01	416
7	IGHV4-3*01	NA	IGHJ2-5*01	404
8	IGHV4-8*01	NA	IGHJ2-4*01	362
9	IGHV4-8*01	NA	IGHJ2-1*01	338
10	IGHV7-1*01	NA	IGHJ2-1*01	335
11	IGHV5-5*01	NA	IGHJ2-1*01	335
12	IGHV14-1*01	NA	IGHJ2-2*01	310
13	IGHV14-1*01	NA	IGHJ2-1*01	305
14	IGHV4-1*01	NA	IGHJ2-4*01	293
15	IGHV4-3*01	NA	IGHJ2-1*01	283
16	IGHV1-2*01	NA	IGHJ2-1*01	278
17	IGHV4-8*01	NA	IGHJ2-5*01	271
18	IGHV8-4*01	NA	IGHJ2-2*01	251
19	IGHV1-4*01	NA	IGHJ2-1*01	240
20	IGHV5-1*01	NA	IGHJ2-1*01	226
21	IGHV1-2*01	NA	IGHJ2-2*01	225
22	IGHV2-2*01	NA	IGHJ2-1*01	223
23	IGHV1-2*01	NA	IGHJ2-4*01	213
24	IGHV1-5*01	NA	IGHJ2-1*01	195
25	IGHV4-6*01	NA	IGHJ2-5*01	193
26	IGHV14-1*01	NA	IGHJ2-4*01	189
27	IGHV7-1*01	NA	IGHJ2-4*01	188
28	IGHV4-1*01	NA	IGHJ2-2*01	183
29	IGHV8-3*01	NA	IGHJ2-1*01	178
30	IGHV2-1*01	NA	IGHJ2-4*01	176
31	IGHV1-5*01	NA	IGHJ2-2*01	173
32	IGHV8-3*01	NA	IGHJ2-2*01	167
33	IGHV7-1*01	NA	IGHJ2-2*01	161
34	IGHV13-2*01	NA	IGHJ2-1*01	161
35	IGHV5-5*01	NA	IGHJ2-5*01	158
36	IGHV1-5*01	NA	IGHJ2-4*01	158
37	IGHV4-1*01	NA	IGHJ2-5*01	152
38	IGHV5-3*01	NA	IGHJ2-1*01	150
39	IGHV6-2*01	NA	IGHJ2-1*01	146
40	IGHV1-2*01	NA	IGHJ2-5*01	135
41	IGHV11-2*01	NA	IGHJ2-1*01	126
42	IGHV8-4*01	NA	IGHJ2-1*01	122
43	IGHV5-4*01	NA	IGHJ2-1*01	122
44	IGHV4-3*01	NA	IGHJ2-4*01	121
45	IGHV7-1*01	NA	IGHJ2-5*01	114
46	IGHV5-4*01	NA	IGHJ2-5*01	107
47	IGHV13-2*01	NA	IGHJ2-5*01	104
48	IGHV10-1*01	NA	IGHJ2-1*01	102
49	IGHV5-2*01	NA	IGHJ2-1*01	100
50	IGHV1-3*01	NA	IGHJ2-4*01	99
51	IGHV5-1*01	NA	IGHJ2-4*01	92
52	IGHV8-2*01	NA	IGHJ2-1*01	91
53	IGHV14-1*01	NA	IGHJ2-5*01	91
54	IGHV5-2*01	NA	IGHJ2-2*01	89
55	IGHV8-3*01	NA	IGHJ2-4*01	87
56	IGHV2-2*01	NA	IGHJ2-4*01	85
57	IGHV2-1*01	NA	IGHJ2-5*01	84
58	IGHV8-4*01	NA	IGHJ2-4*01	82
59	IGHV13-2*01	NA	IGHJ2-4*01	80
60	IGHV8-1*01	NA	IGHJ2-1*01	79
61	IGHV2-2*01	NA	IGHJ2-5*01	76
62	IGHV1-4*01	NA	IGHJ2-2*01	76
63	IGHV1-5*01	NA	IGHJ2-5*01	73
64	IGHV8-2*01	NA	IGHJ2-4*01	71
65	IGHV1-4*01	NA	IGHJ2-4*01	67
66	IGHV4-1*01	NA	IGHJ2-3*01	66
67	IGHV5-1*01	NA	IGHJ2-2*01	64
68	IGHV14-1*01	NA	IGHJ2-3*01	63
69	IGHV11-2*01	NA	IGHJ2-5*01	63
70	IGHV5-3*01	NA	IGHJ2-4*01	63
71	IGHV5-7*01	NA	IGHJ2-1*01	62
72	IGHV1-3*01	NA	IGHJ2-2*01	61
73	IGHV4-5*01	NA	IGHJ2-1*01	61
74	IGHV8-1*01	NA	IGHJ2-4*01	60
75	IGHV1-5*01	NA	IGHJ2-3*01	60
76	IGHV5-5*01	NA	IGHJ2-4*01	59
77	IGHV2-2*01	NA	IGHJ2-2*01	57
78	IGHV4-5*01	NA	IGHJ2-4*01	54
79	IGHV8-1*01	NA	IGHJ2-2*01	53
80	IGHV2-1*01	NA	IGHJ2-2*01	53
81	IGHV5-1*01	NA	IGHJ2-5*01	51
82	IGHV11-2*01	NA	IGHJ2-4*01	51
83	IGHV5-4*01	NA	IGHJ2-4*01	49
84	IGHV4-3*01	NA	IGHJ2-2*01	47
85	IGHV5-7*01	NA	IGHJ2-4*01	47
86	IGHV8-2*01	NA	IGHJ2-2*01	44
87	IGHV4-2*01	NA	IGHJ2-1*01	42
88	IGHV1-4*01	NA	IGHJ2-5*01	41
89	IGHV5-2*01	NA	IGHJ2-4*01	40
90	IGHV4-8*01	NA	IGHJ2-3*01	39
91	IGHV4-9*01	NA	IGHJ2-4*01	39
92	IGHV8-1*01	NA	IGHJ2-5*01	38
93	IGHV7-1*01	NA	IGHJ2-3*01	37
94	IGHV4-9*01	NA	IGHJ2-1*01	37
95	IGHV1-2*01	NA	IGHJ2-3*01	36
96	IGHV5-7*01	NA	IGHJ2-2*01	35
97	IGHV9-2*01	NA	IGHJ2-1*01	34
98	IGHV8-3*01	NA	IGHJ2-5*01	34
99	IGHV4-6*01	NA	IGHJ2-2*01	32
100	IGHV6-2*01	NA	IGHJ2-4*01	31
101	IGHV5-7*01	NA	IGHJ2-5*01	28
102	IGHV4-2*01	NA	IGHJ2-4*01	26
103	IGHV4-5*01	NA	IGHJ2-5*01	25
104	IGHV6-2*01	NA	IGHJ2-5*01	25
105	IGHV8-4*01	NA	IGHJ2-5*01	24
106	IGHV4-3*01	IGHD2-5*01	IGHJ2-4*01	24
107	IGHV11-2*01	NA	IGHJ2-2*01	23
108	IGHV5-8*01	NA	IGHJ2-1*01	23
109	IGHV13-2*01	NA	IGHJ2-2*01	22
110	IGHV8-2*01	NA	IGHJ2-5*01	21
111	IGHV10-1*01	NA	IGHJ2-5*01	21
112	IGHV5-2*01	NA	IGHJ2-5*01	18
113	IGHV5-3*01	NA	IGHJ2-5*01	18
