	vj_ins_len
0	56
1	125
2	214
3	426
4	639
5	975
6	1161
7	1279
8	1250
9	1208
10	12281
11	890
12	2259
13	620
14	2095
15	392
16	3746
17	84
18	53
19	28
20	5
21	4
23	1
33	1
