	nucl_len
11.0	3
13.0	1
17.0	2
18.0	3
19.0	1
20.0	8
21.0	51
22.0	6
23.0	12
24.0	149
25.0	9
26.0	75
27.0	1240
28.0	46
29.0	383
30.0	6149
31.0	339
32.0	233
33.0	6867
34.0	126
35.0	113
36.0	4038
37.0	166
38.0	53
39.0	487
40.0	26
41.0	17
42.0	118
43.0	5
44.0	4
45.0	24
46.0	1
50.0	1
