	v
IGHV4-3*01	4936
IGHV1-2*01	2495
IGHV4-8*01	1479
IGHV7-1*01	1316
IGHV2-1*01	1220
IGHV5-1*01	1176
IGHV4-6*01	597
IGHV2-2*01	553
IGHV13-2*01	514
IGHV5-2*01	498
IGHV1-5*01	320
IGHV8-4*01	273
IGHV1-3*01	269
IGHV8-3*01	256
IGHV4-1*01	239
IGHV4-5*01	197
IGHV9-2*01	166
IGHV1-4*01	158
IGHV8-2*01	154
IGHV8-1*01	121
IGHV5-5*01	108
IGHV5-4*01	108
IGHV5-7*01	89
IGHV6-2*01	69
IGHV14-1*01	68
IGHV5-3*01	60
IGHV10-1*01	54
IGHV4-2*01	36
IGHV11-2*01	27
IGHV11-1*01	20
IGHV4-9*01	18
IGHV5-8*01	17
IGHV6-1*01	7
IGHV3-2*01	6
IGHV9-3*01	2
