	vj_ins_len
0	292
1	25117
2	394
3	889
4	1673
5	2692
6	3804
7	1537
8	2826
9	1992
10	14921
11	1672
12	1828
13	596
14	1658
15	244
16	107
17	186
18	29
19	7
20	2
21	2
23	2
38	3
91	1
