	v	d	j	frequency
0	IGHV2-1*01	NA	IGHJ2-4*01	11018
1	IGHV4-1*01	NA	IGHJ2-1*01	7171
2	IGHV4-3*01	NA	IGHJ2-1*01	915
3	IGHV2-1*01	NA	IGHJ2-1*01	588
4	IGHV4-3*01	NA	IGHJ2-4*01	537
5	IGHV4-8*01	NA	IGHJ2-1*01	486
6	IGHV4-3*01	NA	IGHJ2-5*01	482
7	IGHV5-1*01	NA	IGHJ2-4*01	403
8	IGHV4-3*01	NA	IGHJ2-2*01	394
9	IGHV4-6*01	NA	IGHJ2-1*01	385
10	IGHV5-1*01	NA	IGHJ2-1*01	359
11	IGHV1-2*01	NA	IGHJ2-1*01	353
12	IGHV13-2*01	NA	IGHJ2-5*01	289
13	IGHV2-2*01	NA	IGHJ2-1*01	286
14	IGHV7-1*01	NA	IGHJ2-4*01	274
15	IGHV4-6*01	NA	IGHJ2-4*01	261
16	IGHV4-8*01	NA	IGHJ2-2*01	234
17	IGHV4-8*01	NA	IGHJ2-5*01	220
18	IGHV4-8*01	NA	IGHJ2-4*01	218
19	IGHV13-2*01	NA	IGHJ2-1*01	205
20	IGHV5-2*01	NA	IGHJ2-1*01	203
21	IGHV8-4*01	NA	IGHJ2-4*01	168
22	IGHV1-4*01	NA	IGHJ2-1*01	145
23	IGHV7-1*01	NA	IGHJ2-2*01	142
24	IGHV8-3*01	NA	IGHJ2-4*01	135
25	IGHV1-2*01	NA	IGHJ2-4*01	131
26	IGHV5-2*01	NA	IGHJ2-4*01	130
27	IGHV4-6*01	NA	IGHJ2-5*01	123
28	IGHV2-1*01	NA	IGHJ2-5*01	115
29	IGHV1-2*01	NA	IGHJ2-2*01	112
30	IGHV5-5*01	NA	IGHJ2-1*01	111
31	IGHV7-1*01	NA	IGHJ2-1*01	107
32	IGHV5-2*01	NA	IGHJ2-2*01	107
33	IGHV8-2*01	NA	IGHJ2-1*01	106
34	IGHV2-2*01	NA	IGHJ2-4*01	95
35	IGHV8-3*01	NA	IGHJ2-2*01	87
36	IGHV1-5*01	NA	IGHJ2-1*01	87
37	IGHV5-2*01	NA	IGHJ2-5*01	86
38	IGHV2-1*01	NA	IGHJ2-2*01	84
39	IGHV2-2*01	NA	IGHJ2-5*01	82
40	IGHV1-2*01	NA	IGHJ2-5*01	81
41	IGHV5-4*01	NA	IGHJ2-1*01	77
42	IGHV13-2*01	NA	IGHJ2-4*01	76
43	IGHV4-6*01	NA	IGHJ2-2*01	69
44	IGHV7-1*01	NA	IGHJ2-5*01	62
45	IGHV1-5*01	NA	IGHJ2-2*01	59
46	IGHV5-1*01	NA	IGHJ2-5*01	59
47	IGHV8-3*01	NA	IGHJ2-1*01	53
48	IGHV1-5*01	NA	IGHJ2-4*01	52
49	IGHV4-1*01	NA	IGHJ2-4*01	51
50	IGHV1-5*01	NA	IGHJ2-3*01	50
51	IGHV8-4*01	NA	IGHJ2-2*01	50
52	IGHV1-5*01	NA	IGHJ2-5*01	50
53	IGHV4-1*01	NA	IGHJ2-2*01	49
54	IGHV10-1*01	NA	IGHJ2-1*01	48
55	IGHV7-1*01	NA	IGHJ2-3*01	45
56	IGHV4-9*01	NA	IGHJ2-1*01	43
57	IGHV8-2*01	NA	IGHJ2-5*01	40
58	IGHV8-4*01	NA	IGHJ2-1*01	39
59	IGHV8-2*01	NA	IGHJ2-2*01	39
60	IGHV6-2*01	NA	IGHJ2-1*01	39
61	IGHV5-3*01	NA	IGHJ2-1*01	39
62	IGHV1-3*01	NA	IGHJ2-1*01	38
63	IGHV9-2*01	NA	IGHJ2-5*01	38
64	IGHV8-2*01	NA	IGHJ2-4*01	37
65	IGHV4-8*01	IGHD2-5*01	IGHJ2-1*01	36
66	IGHV14-1*01	NA	IGHJ2-2*01	36
67	IGHV2-2*01	NA	IGHJ2-2*01	35
68	IGHV5-1*01	NA	IGHJ2-2*01	35
69	IGHV9-2*01	NA	IGHJ2-1*01	33
70	IGHV4-5*01	NA	IGHJ2-1*01	33
71	IGHV8-4*01	NA	IGHJ2-5*01	30
72	IGHV1-3*01	NA	IGHJ2-2*01	30
73	IGHV5-7*01	NA	IGHJ2-4*01	29
74	IGHV5-7*01	NA	IGHJ2-5*01	28
75	IGHV14-1*01	NA	IGHJ2-1*01	27
76	IGHV14-1*01	NA	IGHJ2-4*01	27
77	IGHV5-5*01	NA	IGHJ2-4*01	26
78	IGHV1-3*01	NA	IGHJ2-4*01	24
79	IGHV5-4*01	NA	IGHJ2-5*01	23
80	IGHV4-3*01	IGHD2-5*01	IGHJ2-1*01	22
81	IGHV4-5*01	NA	IGHJ2-4*01	22
82	IGHV5-4*01	NA	IGHJ2-4*01	20
83	IGHV5-5*01	NA	IGHJ2-5*01	19
84	IGHV1-3*01	NA	IGHJ2-5*01	19
85	IGHV4-1*01	NA	IGHJ2-5*01	18
86	IGHV8-1*01	NA	IGHJ2-1*01	17
87	IGHV8-1*01	NA	IGHJ2-4*01	17
88	IGHV8-1*01	NA	IGHJ2-2*01	17
89	IGHV5-7*01	NA	IGHJ2-2*01	16
90	IGHV5-7*01	NA	IGHJ2-1*01	16
91	IGHV4-5*01	NA	IGHJ2-2*01	16
92	IGHV14-1*01	NA	IGHJ2-5*01	16
93	IGHV4-5*01	NA	IGHJ2-5*01	14
94	IGHV4-2*01	NA	IGHJ2-1*01	14
95	IGHV6-2*01	NA	IGHJ2-4*01	14
96	IGHV5-8*01	NA	IGHJ2-1*01	14
97	IGHV7-1*01	IGHD2-5*01	IGHJ2-2*01	13
98	IGHV10-1*01	NA	IGHJ2-4*01	13
99	IGHV4-3*01	NA	IGHJ2-3*01	12
100	IGHV1-4*01	NA	IGHJ2-2*01	12
101	IGHV1-4*01	NA	IGHJ2-4*01	10
102	IGHV4-1*01	NA	IGHJ2-3*01	8
103	IGHV13-2*01	NA	IGHJ2-2*01	8
104	IGHV6-2*01	IGHD2-5*01	IGHJ2-1*01	8
105	IGHV13-2*01	IGHD2-5*01	IGHJ2-1*01	7
106	IGHV4-8*01	IGHD2-5*01	IGHJ2-5*01	7
107	IGHV4-3*01	IGHD2-2*01	IGHJ2-1*01	7
108	IGHV4-2*01	NA	IGHJ2-4*01	7
109	IGHV5-2*01	IGHD2-5*01	IGHJ2-1*01	7
110	IGHV4-6*01	IGHD2-5*01	IGHJ2-1*01	7
111	IGHV10-1*01	NA	IGHJ2-5*01	7
112	IGHV11-1*01	NA	IGHJ2-2*01	6
113	IGHV14-1*01	NA	IGHJ2-3*01	6
114	IGHV4-3*01	IGHD2-4*01	IGHJ2-1*01	6
115	IGHV2-1*01	IGHD2-5*01	IGHJ2-1*01	6
116	IGHV5-1*01	IGHD2-5*01	IGHJ2-4*01	6
117	IGHV1-2*01	NA	IGHJ2-3*01	6
118	IGHV5-8*01	NA	IGHJ2-5*01	5
119	IGHV8-3*01	NA	IGHJ2-5*01	5
120	IGHV4-1*01	IGHD2-5*01	IGHJ2-1*01	5
121	IGHV11-2*01	NA	IGHJ2-1*01	5
122	IGHV6-2*01	NA	IGHJ2-5*01	5
123	IGHV4-2*01	NA	IGHJ2-5*01	5
124	IGHV4-8*01	IGHD2-4*01	IGHJ2-1*01	5
125	IGHV5-1*01	IGHD2-5*01	IGHJ2-1*01	5
126	IGHV4-5*01	IGHD2-5*01	IGHJ2-4*01	5
127	IGHV2-1*01	NA	IGHJ2-3*01	5
128	IGHV7-1*01	IGHD2-5*01	IGHJ2-1*01	4
129	IGHV1-4*01	IGHD2-2*01	IGHJ2-1*01	4
130	IGHV4-8*01	IGHD2-5*01	IGHJ2-2*01	4
131	IGHV5-3*01	NA	IGHJ2-2*01	4
132	IGHV5-2*01	NA	IGHJ2-3*01	4
133	IGHV11-2*01	NA	IGHJ2-5*01	3
134	IGHV1-2*01	IGHD2-5*01	IGHJ2-5*01	3
135	IGHV8-3*01	NA	IGHJ2-3*01	3
136	IGHV2-2*01	IGHD2-5*01	IGHJ2-1*01	3
137	IGHV4-8*01	NA	IGHJ2-3*01	3
138	IGHV4-5*01	NA	IGHJ2-3*01	3
139	IGHV4-8*01	IGHD2-5*01	IGHJ2-4*01	3
140	IGHV4-3*01	IGHD2-5*01	IGHJ2-4*01	3
141	IGHV5-7*01	IGHD2-2*01	IGHJ2-1*01	3
142	IGHV1-5*01	IGHD2-5*01	IGHJ2-4*01	3
