	v	d	j	frequency
0	IGHV1-3*01	NA	IGHJ2-1*01	2217
1	IGHV4-3*01	NA	IGHJ2-4*01	1909
2	IGHV4-8*01	NA	IGHJ2-4*01	1004
3	IGHV1-2*01	NA	IGHJ2-1*01	879
4	IGHV4-3*01	NA	IGHJ2-1*01	875
5	IGHV8-2*01	NA	IGHJ2-5*01	809
6	IGHV4-8*01	NA	IGHJ2-1*01	760
7	IGHV2-1*01	NA	IGHJ2-1*01	704
8	IGHV5-1*01	NA	IGHJ2-1*01	552
9	IGHV13-2*01	NA	IGHJ2-1*01	521
10	IGHV4-6*01	NA	IGHJ2-1*01	492
11	IGHV4-1*01	NA	IGHJ2-1*01	467
12	IGHV4-3*01	NA	IGHJ2-2*01	457
13	IGHV8-4*01	NA	IGHJ2-2*01	444
14	IGHV4-1*01	NA	IGHJ2-5*01	439
15	IGHV4-1*01	NA	IGHJ2-4*01	389
16	IGHV1-2*01	NA	IGHJ2-2*01	379
17	IGHV4-8*01	NA	IGHJ2-2*01	369
18	IGHV1-5*01	NA	IGHJ2-4*01	362
19	IGHV4-8*01	NA	IGHJ2-5*01	361
20	IGHV4-6*01	NA	IGHJ2-5*01	350
21	IGHV5-4*01	NA	IGHJ2-1*01	331
22	IGHV1-4*01	NA	IGHJ2-4*01	327
23	IGHV7-1*01	NA	IGHJ2-4*01	317
24	IGHV2-2*01	NA	IGHJ2-1*01	315
25	IGHV8-1*01	NA	IGHJ2-1*01	311
26	IGHV4-3*01	NA	IGHJ2-5*01	310
27	IGHV1-2*01	NA	IGHJ2-4*01	280
28	IGHV1-5*01	NA	IGHJ2-2*01	275
29	IGHV4-1*01	NA	IGHJ2-2*01	261
30	IGHV1-5*01	NA	IGHJ2-1*01	259
31	IGHV4-6*01	NA	IGHJ2-4*01	259
32	IGHV13-2*01	NA	IGHJ2-4*01	252
33	IGHV7-1*01	NA	IGHJ2-1*01	235
34	IGHV5-1*01	NA	IGHJ2-4*01	230
35	IGHV1-2*01	NA	IGHJ2-5*01	218
36	IGHV5-5*01	NA	IGHJ2-1*01	209
37	IGHV2-1*01	NA	IGHJ2-4*01	197
38	IGHV2-2*01	NA	IGHJ2-4*01	197
39	IGHV2-1*01	NA	IGHJ2-5*01	186
40	IGHV5-4*01	NA	IGHJ2-5*01	181
41	IGHV13-2*01	NA	IGHJ2-5*01	160
42	IGHV5-1*01	NA	IGHJ2-2*01	154
43	IGHV2-1*01	NA	IGHJ2-2*01	148
44	IGHV5-7*01	NA	IGHJ2-1*01	147
45	IGHV8-4*01	NA	IGHJ2-1*01	144
46	IGHV1-5*01	NA	IGHJ2-5*01	138
47	IGHV7-1*01	NA	IGHJ2-5*01	137
48	IGHV2-2*01	NA	IGHJ2-5*01	136
