	nucl_len
9.0	1
13.0	2
14.0	1
18.0	3
19.0	2
20.0	9
21.0	454
22.0	5
23.0	23
24.0	868
25.0	13
26.0	116
27.0	3451
28.0	23
29.0	233
30.0	10223
31.0	90
32.0	343
33.0	7280
34.0	48
35.0	88
36.0	2626
37.0	29
38.0	36
39.0	708
40.0	11
41.0	39
42.0	126
43.0	2
45.0	12
48.0	31
49.0	2
