	vj_ins_len
0	141
1	335
2	477
3	762
4	757
5	1331
6	1637
7	1480
8	1642
9	1339
10	1191
11	9815
12	1012
13	476
14	219
15	110
16	107
17	16
18	10
19	2
20	5
21	5
22	1
