	v	d	j	frequency
0	IGHV4-3*01	NA	IGHJ2-5*01	2764
1	IGHV1-2*01	NA	IGHJ2-4*01	1629
2	IGHV4-3*01	NA	IGHJ2-1*01	1377
3	IGHV2-1*01	NA	IGHJ2-1*01	812
4	IGHV7-1*01	NA	IGHJ2-1*01	700
5	IGHV5-1*01	NA	IGHJ2-1*01	573
6	IGHV4-8*01	NA	IGHJ2-5*01	499
7	IGHV4-3*01	NA	IGHJ2-4*01	489
8	IGHV1-2*01	NA	IGHJ2-2*01	443
9	IGHV4-8*01	NA	IGHJ2-1*01	419
10	IGHV4-6*01	NA	IGHJ2-1*01	365
11	IGHV7-1*01	NA	IGHJ2-4*01	294
12	IGHV5-1*01	NA	IGHJ2-4*01	284
13	IGHV4-3*01	NA	IGHJ2-2*01	273
14	IGHV13-2*01	NA	IGHJ2-1*01	252
15	IGHV4-8*01	NA	IGHJ2-4*01	250
16	IGHV1-2*01	NA	IGHJ2-1*01	239
17	IGHV2-2*01	NA	IGHJ2-1*01	212
18	IGHV4-8*01	NA	IGHJ2-2*01	209
19	IGHV2-1*01	NA	IGHJ2-4*01	187
20	IGHV5-1*01	NA	IGHJ2-2*01	181
21	IGHV5-2*01	NA	IGHJ2-5*01	165
22	IGHV1-2*01	NA	IGHJ2-5*01	161
23	IGHV8-3*01	NA	IGHJ2-2*01	158
24	IGHV5-2*01	NA	IGHJ2-4*01	142
25	IGHV1-3*01	NA	IGHJ2-1*01	138
26	IGHV5-2*01	NA	IGHJ2-1*01	138
27	IGHV5-1*01	NA	IGHJ2-5*01	136
28	IGHV2-2*01	NA	IGHJ2-2*01	136
29	IGHV4-6*01	NA	IGHJ2-4*01	135
30	IGHV13-2*01	NA	IGHJ2-4*01	135
31	IGHV1-5*01	NA	IGHJ2-1*01	129
32	IGHV4-1*01	NA	IGHJ2-1*01	120
33	IGHV7-1*01	NA	IGHJ2-2*01	118
34	IGHV2-1*01	NA	IGHJ2-5*01	114
35	IGHV2-2*01	NA	IGHJ2-4*01	111
36	IGHV4-5*01	NA	IGHJ2-4*01	106
37	IGHV9-2*01	NA	IGHJ2-1*01	102
38	IGHV7-1*01	NA	IGHJ2-3*01	96
39	IGHV4-8*01	IGHD2-5*01	IGHJ2-1*01	95
40	IGHV13-2*01	NA	IGHJ2-5*01	94
41	IGHV8-4*01	NA	IGHJ2-4*01	87
42	IGHV8-4*01	NA	IGHJ2-2*01	86
43	IGHV8-4*01	NA	IGHJ2-1*01	85
44	IGHV2-2*01	NA	IGHJ2-5*01	81
45	IGHV2-1*01	NA	IGHJ2-2*01	75
46	IGHV7-1*01	NA	IGHJ2-5*01	69
47	IGHV5-5*01	NA	IGHJ2-1*01	69
48	IGHV4-6*01	NA	IGHJ2-5*01	67
49	IGHV8-2*01	NA	IGHJ2-1*01	63
50	IGHV8-2*01	NA	IGHJ2-4*01	62
51	IGHV1-5*01	NA	IGHJ2-2*01	60
52	IGHV1-5*01	NA	IGHJ2-4*01	60
53	IGHV1-3*01	NA	IGHJ2-4*01	60
54	IGHV9-2*01	NA	IGHJ2-5*01	55
55	IGHV6-2*01	NA	IGHJ2-1*01	54
56	IGHV8-1*01	NA	IGHJ2-4*01	53
57	IGHV8-3*01	NA	IGHJ2-1*01	52
58	IGHV1-4*01	NA	IGHJ2-1*01	52
59	IGHV5-4*01	NA	IGHJ2-1*01	51
60	IGHV5-4*01	NA	IGHJ2-5*01	48
61	IGHV4-5*01	NA	IGHJ2-1*01	45
62	IGHV1-3*01	NA	IGHJ2-2*01	44
63	IGHV5-7*01	NA	IGHJ2-1*01	44
64	IGHV4-1*01	NA	IGHJ2-4*01	40
65	IGHV8-1*01	NA	IGHJ2-2*01	37
66	IGHV4-1*01	NA	IGHJ2-2*01	37
67	IGHV5-3*01	NA	IGHJ2-1*01	36
68	IGHV1-5*01	NA	IGHJ2-3*01	36
69	IGHV10-1*01	NA	IGHJ2-1*01	31
70	IGHV5-2*01	NA	IGHJ2-2*01	31
71	IGHV4-1*01	NA	IGHJ2-5*01	30
72	IGHV5-5*01	NA	IGHJ2-5*01	29
73	IGHV1-4*01	NA	IGHJ2-2*01	28
74	IGHV14-1*01	NA	IGHJ2-2*01	27
75	IGHV1-4*01	NA	IGHJ2-5*01	27
76	IGHV1-4*01	NA	IGHJ2-4*01	27
77	IGHV13-2*01	NA	IGHJ2-2*01	27
78	IGHV8-3*01	NA	IGHJ2-4*01	26
79	IGHV8-1*01	NA	IGHJ2-1*01	23
80	IGHV5-3*01	NA	IGHJ2-4*01	23
81	IGHV4-6*01	NA	IGHJ2-2*01	23
82	IGHV1-4*01	NA	IGHJ2-3*01	22
83	IGHV4-5*01	NA	IGHJ2-5*01	21
84	IGHV14-1*01	NA	IGHJ2-4*01	20
85	IGHV10-1*01	NA	IGHJ2-4*01	19
86	IGHV4-5*01	NA	IGHJ2-2*01	19
87	IGHV1-3*01	NA	IGHJ2-5*01	19
88	IGHV11-1*01	NA	IGHJ2-1*01	19
89	IGHV4-2*01	NA	IGHJ2-1*01	18
90	IGHV7-1*01	IGHD2-5*01	IGHJ2-4*01	16
91	IGHV5-7*01	NA	IGHJ2-4*01	16
