	v	d	j	frequency
0	IGHV1-5*01	NA	IGHJ2-4*01	1990
1	IGHV1-5*01	NA	IGHJ2-1*01	881
2	IGHV8-3*01	NA	IGHJ2-1*01	873
3	IGHV4-1*01	NA	IGHJ2-1*01	797
4	IGHV2-1*01	NA	IGHJ2-1*01	566
5	IGHV4-6*01	NA	IGHJ2-1*01	529
6	IGHV5-2*01	NA	IGHJ2-1*01	503
7	IGHV2-2*01	NA	IGHJ2-1*01	500
8	IGHV4-6*01	NA	IGHJ2-4*01	473
9	IGHV1-5*01	NA	IGHJ2-2*01	421
10	IGHV1-2*01	NA	IGHJ2-1*01	401
11	IGHV4-1*01	NA	IGHJ2-4*01	379
12	IGHV5-2*01	NA	IGHJ2-4*01	377
13	IGHV8-3*01	NA	IGHJ2-4*01	326
14	IGHV5-1*01	NA	IGHJ2-1*01	322
15	IGHV8-3*01	NA	IGHJ2-2*01	302
16	IGHV4-1*01	NA	IGHJ2-2*01	274
17	IGHV7-1*01	NA	IGHJ2-1*01	266
18	IGHV1-2*01	NA	IGHJ2-4*01	254
19	IGHV1-2*01	NA	IGHJ2-2*01	249
20	IGHV4-7*01	NA	IGHJ2-2*01	236
21	IGHV4-1*01	NA	IGHJ2-5*01	229
22	IGHV5-7*01	NA	IGHJ2-1*01	227
23	IGHV1-5*01	NA	IGHJ2-5*01	194
24	IGHV13-2*01	NA	IGHJ2-1*01	193
25	IGHV2-2*01	NA	IGHJ2-5*01	178
26	IGHV2-1*01	NA	IGHJ2-4*01	170
27	IGHV1-2*01	NA	IGHJ2-5*01	170
28	IGHV14-1*01	NA	IGHJ2-4*01	166
29	IGHV4-5*01	NA	IGHJ2-1*01	157
30	IGHV1-4*01	NA	IGHJ2-1*01	155
31	IGHV7-1*01	NA	IGHJ2-4*01	153
32	IGHV4-6*01	NA	IGHJ2-5*01	148
33	IGHV8-4*01	NA	IGHJ2-1*01	142
34	IGHV5-1*01	NA	IGHJ2-4*01	140
35	IGHV5-2*01	NA	IGHJ2-5*01	130
36	IGHV14-1*01	NA	IGHJ2-1*01	109
37	IGHV5-2*01	NA	IGHJ2-2*01	108
38	IGHV2-1*01	NA	IGHJ2-5*01	105
39	IGHV8-4*01	NA	IGHJ2-2*01	101
40	IGHV13-2*01	NA	IGHJ2-4*01	101
41	IGHV5-1*01	NA	IGHJ2-2*01	100
42	IGHV1-4*01	NA	IGHJ2-4*01	92
43	IGHV8-4*01	NA	IGHJ2-4*01	85
44	IGHV1-3*01	NA	IGHJ2-1*01	78
45	IGHV4-5*01	NA	IGHJ2-5*01	71
46	IGHV4-5*01	NA	IGHJ2-4*01	71
47	IGHV5-4*01	NA	IGHJ2-1*01	70
48	IGHV5-7*01	NA	IGHJ2-4*01	69
49	IGHV7-1*01	NA	IGHJ2-5*01	64
50	IGHV10-1*01	NA	IGHJ2-1*01	63
51	IGHV4-6*01	NA	IGHJ2-2*01	58
52	IGHV2-2*01	NA	IGHJ2-4*01	57
53	IGHV1-3*01	NA	IGHJ2-4*01	54
54	IGHV13-2*01	NA	IGHJ2-5*01	53
55	IGHV14-1*01	NA	IGHJ2-2*01	53
56	IGHV7-1*01	NA	IGHJ2-2*01	49
57	IGHV5-7*01	NA	IGHJ2-5*01	46
58	IGHV2-1*01	NA	IGHJ2-2*01	45
59	IGHV8-3*01	NA	IGHJ2-5*01	45
60	IGHV4-7*01	NA	IGHJ2-4*01	40
61	IGHV1-5*01	NA	IGHJ2-3*01	38
62	IGHV5-1*01	NA	IGHJ2-5*01	37
63	IGHV4-7*01	NA	IGHJ2-1*01	37
64	IGHV1-4*01	NA	IGHJ2-2*01	36
65	IGHV14-1*01	NA	IGHJ2-5*01	35
66	IGHV8-1*01	NA	IGHJ2-4*01	35
67	IGHV1-3*01	NA	IGHJ2-5*01	33
68	IGHV1-3*01	NA	IGHJ2-2*01	31
69	IGHV1-4*01	NA	IGHJ2-5*01	31
70	IGHV8-1*01	NA	IGHJ2-2*01	31
71	IGHV8-4*01	NA	IGHJ2-5*01	30
72	IGHV4-7*01	NA	IGHJ2-5*01	28
73	IGHV3-2*01	NA	IGHJ2-1*01	23
74	IGHV8-3*01	NA	IGHJ2-3*01	20
75	IGHV10-1*01	NA	IGHJ2-4*01	20
76	IGHV8-1*01	NA	IGHJ2-1*01	20
77	IGHV1-3*01	NA	IGHJ2-3*01	19
78	IGHV5-7*01	NA	IGHJ2-2*01	18
79	IGHV4-1*01	NA	IGHJ2-3*01	18
80	IGHV4-3*01	NA	IGHJ2-1*01	17
81	IGHV11-1*01	NA	IGHJ2-1*01	17
82	IGHV4-5*01	NA	IGHJ2-2*01	16
83	IGHV10-1*01	NA	IGHJ2-5*01	16
84	IGHV1-2*01	NA	IGHJ2-3*01	15
85	IGHV4-2*01	NA	IGHJ2-1*01	14
86	IGHV5-4*01	NA	IGHJ2-5*01	12
87	IGHV8-1*01	NA	IGHJ2-5*01	11
88	IGHV6-2*01	NA	IGHJ2-1*01	11
89	IGHV8-4*01	NA	IGHJ2-3*01	10
90	IGHV1-5*01	IGHD2-4*01	IGHJ2-1*01	9
91	IGHV5-3*01	NA	IGHJ2-1*01	9
92	IGHV14-1*01	NA	IGHJ2-3*01	9
93	IGHV2-2*01	NA	IGHJ2-2*01	8
94	IGHV5-4*01	NA	IGHJ2-4*01	7
95	IGHV13-2*01	NA	IGHJ2-2*01	7
96	IGHV1-4*01	NA	IGHJ2-3*01	7
97	IGHV5-2*01	IGHD2-4*01	IGHJ2-1*01	7
98	IGHV11-1*01	NA	IGHJ2-4*01	7
99	IGHV1-2*01	IGHD1-2*01	IGHJ2-5*01	6
100	IGHV2-1*01	IGHD2-2*01	IGHJ2-1*01	6
101	IGHV4-1*01	IGHD2-4*01	IGHJ2-1*01	5
102	IGHV4-2*01	NA	IGHJ2-4*01	5
103	IGHV4-6*01	IGHD2-4*01	IGHJ2-1*01	5
104	IGHV3-2*01	NA	IGHJ2-5*01	5
105	IGHV8-4*01	IGHD2-2*01	IGHJ2-4*01	4
106	IGHV6-2*01	NA	IGHJ2-5*01	3
107	IGHV14-1*01	IGHD2-4*01	IGHJ2-2*01	3
108	IGHV9-2*01	NA	IGHJ2-5*01	3
109	IGHV2-3*01	NA	IGHJ2-4*01	3
110	IGHV5-2*01	NA	IGHJ2-3*01	3
111	IGHV4-2*01	NA	IGHJ2-5*01	3
112	IGHV8-1*01	NA	IGHJ2-3*01	3
113	IGHV6-1*01	NA	IGHJ2-1*01	3
114	IGHV7-1*01	IGHD2-4*01	IGHJ2-1*01	3
115	IGHV10-1*01	NA	IGHJ2-2*01	3
116	IGHV9-3*01	NA	IGHJ2-5*01	2
117	IGHV5-2*01	IGHD2-1*01	IGHJ2-4*01	2
118	IGHV9-4*01	NA	IGHJ2-1*01	2
119	IGHV4-1*01	IGHD2-2*01	IGHJ2-1*01	2
120	IGHV3-2*01	NA	IGHJ2-4*01	2
121	IGHV11-2*01	NA	IGHJ2-1*01	2
122	IGHV8-2*01	NA	IGHJ2-1*01	2
123	IGHV4-3*01	NA	IGHJ2-5*01	2
124	IGHV7-1*01	IGHD2-2*01	IGHJ2-5*01	2
125	IGHV4-3*01	NA	IGHJ2-4*01	2
126	IGHV8-2*01	NA	IGHJ2-4*01	2
127	IGHV9-3*01	NA	IGHJ2-1*01	2
128	IGHV1-3*01	IGHD2-4*01	IGHJ2-4*01	2
129	IGHV9-2*01	NA	IGHJ2-4*01	1
130	IGHV13-2*01	NA	IGHJ1-2*01	1
131	IGHV9-2*01	NA	IGHJ2-1*01	1
132	IGHV14-1*01	IGHD2-3*01	IGHJ2-1*01	1
133	IGHV2-1*01	IGHD2-4*01	IGHJ2-1*01	1
134	IGHV11-1*01	NA	IGHJ2-5*01	1
135	IGHV2-2*01	IGHD2-4*01	IGHJ2-1*01	1
136	IGHV5-5*01	NA	IGHJ2-5*01	1
137	IGHV5-1*01	NA	IGHJ2-3*01	1
138	IGHV7-1*01	NA	IGHJ2-3*01	1
139	IGHV2-2*01	NA	IGHJ2-3*01	1
140	IGHV1-2*01	IGHD2-4*01	IGHJ2-2*01	1
141	IGHV4-6*01	NA	IGHJ2-3*01	1
142	IGHV11-1*01	NA	IGHJ2-2*01	1
143	IGHV8-2*01	NA	IGHJ2-5*01	1
144	IGHV9-4*01	NA	IGHJ2-5*01	1
145	IGHV7-1*01	IGHD2-1*01	IGHJ2-2*01	1
146	IGHV11-2*01	NA	IGHJ2-4*01	1
147	IGHV4-1*01	IGHD2-3*01	IGHJ2-2*01	1
148	IGHV14-1*01	IGHD1-2*01	IGHJ2-2*01	1
149	IGHV4-5*01	NA	IGHJ2-3*01	1
150	IGHV4-7*01	NA	IGHJ2-3*01	1
151	IGHV1-2*01	IGHD2-3*01	IGHJ2-2*01	1
152	IGHV5-3*01	NA	IGHJ2-4*01	1
153	IGHV4-2*01	NA	IGHJ2-2*01	1
154	IGHV11-2*01	NA	IGHJ2-5*01	1
