	v
IGHV1-3*01	5465
IGHV7-1*01	4287
IGHV2-2*01	3410
IGHV4-8*01	3038
IGHV5-7*01	2648
IGHV2-1*01	1982
IGHV14-1*01	1384
IGHV4-6*01	1034
IGHV6-2*01	894
IGHV1-2*01	873
IGHV5-4*01	801
IGHV4-1*01	745
IGHV8-4*01	679
IGHV8-2*01	666
IGHV4-3*01	624
IGHV8-3*01	518
IGHV1-5*01	378
IGHV13-2*01	352
IGHV5-5*01	350
IGHV5-1*01	232
IGHV11-2*01	214
IGHV1-4*01	198
IGHV10-1*01	162
IGHV5-3*01	156
IGHV8-1*01	104
IGHV5-2*01	93
IGHV4-2*01	61
IGHV4-5*01	44
IGHV4-9*01	33
IGHV11-1*01	24
IGHV2-3*01	11
IGHV6-1*01	9
IGHV9-3*01	7
IGHV3-2*01	5
IGHV5-8*01	2
IGHV4-7*01	1
IGHV9-4*01	1
IGHV9-2*01	1
