	nucl_len
9.0	1
11.0	1
12.0	1
18.0	4
19.0	1
20.0	4
21.0	23
23.0	4
24.0	132
25.0	4
26.0	15
27.0	1111
28.0	9
29.0	42
30.0	11020
31.0	47
32.0	68
33.0	8446
34.0	59
35.0	62
36.0	8577
37.0	71
38.0	23
39.0	5570
40.0	16
41.0	6
42.0	137
43.0	1
44.0	2
45.0	14
50.0	1
