	v_del_len
0	9848
1	2593
2	2034
3	2774
4	3423
5	1412
6	204
7	138
8	28
9	7
10	1
11	1
12	5
13	3
14	11
15	1
16	2
17	9
19	1
21	2
22	1
23	6
24	4
27	1
28	3
29	1
