	vj_ins_len
0	66
1	100
2	487
3	1158
4	820
5	1696
6	4172
7	2314
8	1283
9	1585
10	4867
11	1955
12	3461
13	609
14	2499
15	4072
16	142
17	134
18	50
19	4
20	1
21	3
23	1
24	1
25	1
34	5
