	v	d	j	frequency
0	IGHV7-1*01	NA	IGHJ2-1*01	3896
1	IGHV1-3*01	NA	IGHJ2-2*01	3692
2	IGHV2-2*01	NA	IGHJ2-1*01	3139
3	IGHV4-8*01	NA	IGHJ2-1*01	2391
4	IGHV2-1*01	NA	IGHJ2-1*01	1558
5	IGHV5-7*01	NA	IGHJ2-2*01	1299
6	IGHV5-7*01	NA	IGHJ2-4*01	1275
7	IGHV1-3*01	NA	IGHJ2-4*01	1252
8	IGHV14-1*01	NA	IGHJ2-1*01	1119
9	IGHV6-2*01	NA	IGHJ2-1*01	879
10	IGHV8-2*01	NA	IGHJ2-1*01	650
11	IGHV8-4*01	NA	IGHJ2-2*01	554
12	IGHV4-6*01	NA	IGHJ2-4*01	507
13	IGHV5-4*01	NA	IGHJ2-1*01	443
14	IGHV2-1*01	NA	IGHJ2-5*01	353
15	IGHV5-4*01	NA	IGHJ2-5*01	313
16	IGHV1-2*01	NA	IGHJ2-4*01	308
17	IGHV4-6*01	NA	IGHJ2-1*01	305
18	IGHV4-1*01	NA	IGHJ2-4*01	273
19	IGHV1-2*01	NA	IGHJ2-1*01	255
20	IGHV4-8*01	NA	IGHJ2-5*01	240
21	IGHV1-3*01	IGHD2-5*01	IGHJ2-3*01	240
22	IGHV4-3*01	NA	IGHJ2-4*01	240
23	IGHV4-1*01	NA	IGHJ2-1*01	237
24	IGHV4-6*01	NA	IGHJ2-5*01	221
25	IGHV4-8*01	NA	IGHJ2-4*01	214
26	IGHV1-3*01	NA	IGHJ2-1*01	209
27	IGHV4-3*01	NA	IGHJ2-5*01	194
28	IGHV5-5*01	NA	IGHJ2-1*01	189
29	IGHV4-8*01	NA	IGHJ2-2*01	188
30	IGHV13-2*01	NA	IGHJ2-1*01	186
31	IGHV11-2*01	NA	IGHJ2-1*01	169
32	IGHV1-5*01	NA	IGHJ2-1*01	161
33	IGHV8-3*01	NA	IGHJ2-2*01	156
34	IGHV7-1*01	NA	IGHJ2-5*01	156
35	IGHV8-3*01	NA	IGHJ2-4*01	156
36	IGHV5-5*01	NA	IGHJ2-5*01	149
37	IGHV4-3*01	NA	IGHJ2-1*01	145
38	IGHV4-1*01	NA	IGHJ2-2*01	143
39	IGHV8-3*01	NA	IGHJ2-1*01	141
40	IGHV2-2*01	NA	IGHJ2-2*01	141
41	IGHV5-1*01	NA	IGHJ2-1*01	134
42	IGHV1-2*01	NA	IGHJ2-5*01	134
43	IGHV2-2*01	NA	IGHJ2-5*01	121
44	IGHV14-1*01	NA	IGHJ2-2*01	115
45	IGHV1-2*01	NA	IGHJ2-2*01	111
46	IGHV7-1*01	NA	IGHJ2-4*01	105
47	IGHV7-1*01	NA	IGHJ2-2*01	104
48	IGHV1-5*01	NA	IGHJ2-2*01	102
49	IGHV5-3*01	NA	IGHJ2-2*01	98
50	IGHV14-1*01	NA	IGHJ2-3*01	96
51	IGHV13-2*01	NA	IGHJ2-4*01	93
52	IGHV4-1*01	NA	IGHJ2-5*01	83
53	IGHV1-4*01	NA	IGHJ2-5*01	82
54	IGHV10-1*01	NA	IGHJ2-4*01	80
55	IGHV10-1*01	NA	IGHJ2-1*01	79
56	IGHV5-1*01	NA	IGHJ2-2*01	66
57	IGHV1-2*01	IGHD2-5*01	IGHJ2-1*01	64
58	IGHV8-1*01	NA	IGHJ2-4*01	63
59	IGHV5-7*01	NA	IGHJ2-1*01	61
60	IGHV8-4*01	NA	IGHJ2-3*01	58
61	IGHV8-3*01	NA	IGHJ2-5*01	58
62	IGHV1-3*01	NA	IGHJ2-3*01	58
63	IGHV5-3*01	NA	IGHJ2-1*01	56
64	IGHV1-5*01	NA	IGHJ2-4*01	53
65	IGHV1-4*01	NA	IGHJ2-2*01	52
66	IGHV4-2*01	NA	IGHJ2-4*01	51
67	IGHV1-5*01	NA	IGHJ2-5*01	49
68	IGHV5-4*01	NA	IGHJ2-4*01	44
69	IGHV14-1*01	NA	IGHJ2-4*01	39
70	IGHV4-3*01	NA	IGHJ2-2*01	39
71	IGHV13-2*01	NA	IGHJ2-5*01	39
72	IGHV8-4*01	NA	IGHJ2-5*01	36
73	IGHV11-2*01	NA	IGHJ2-4*01	34
74	IGHV1-4*01	NA	IGHJ2-1*01	34
75	IGHV13-2*01	NA	IGHJ2-2*01	33
76	IGHV4-5*01	NA	IGHJ2-4*01	33
77	IGHV5-2*01	NA	IGHJ2-5*01	31
78	IGHV8-1*01	NA	IGHJ2-2*01	31
79	IGHV2-1*01	NA	IGHJ2-4*01	31
80	IGHV2-1*01	IGHD2-5*01	IGHJ2-4*01	27
81	IGHV5-2*01	NA	IGHJ2-1*01	22
82	IGHV8-4*01	NA	IGHJ2-1*01	22
83	IGHV1-4*01	NA	IGHJ2-4*01	21
84	IGHV5-2*01	NA	IGHJ2-4*01	21
85	IGHV11-1*01	IGHD2-5*01	IGHJ2-4*01	20
86	IGHV5-2*01	NA	IGHJ2-2*01	19
87	IGHV5-1*01	NA	IGHJ2-5*01	17
88	IGHV7-1*01	NA	IGHJ2-3*01	16
89	IGHV5-1*01	NA	IGHJ2-4*01	15
90	IGHV14-1*01	NA	IGHJ2-5*01	14
91	IGHV1-3*01	NA	IGHJ2-5*01	14
92	IGHV1-5*01	NA	IGHJ2-3*01	13
93	IGHV8-2*01	NA	IGHJ2-4*01	13
94	IGHV2-3*01	NA	IGHJ2-1*01	11
95	IGHV4-9*01	NA	IGHJ2-4*01	11
96	IGHV5-5*01	NA	IGHJ2-4*01	11
97	IGHV4-9*01	NA	IGHJ2-2*01	10
98	IGHV5-7*01	NA	IGHJ2-5*01	10
99	IGHV8-4*01	NA	IGHJ2-4*01	9
100	IGHV2-2*01	NA	IGHJ2-4*01	9
101	IGHV4-2*01	NA	IGHJ2-1*01	9
102	IGHV2-1*01	NA	IGHJ2-2*01	9
103	IGHV6-1*01	NA	IGHJ2-1*01	8
104	IGHV4-1*01	NA	IGHJ2-3*01	8
105	IGHV4-9*01	NA	IGHJ2-5*01	7
106	IGHV11-2*01	NA	IGHJ2-5*01	7
107	IGHV6-2*01	NA	IGHJ2-5*01	6
108	IGHV6-2*01	NA	IGHJ2-4*01	6
109	IGHV1-4*01	IGHD2-3*01	IGHJ2-1*01	6
110	IGHV8-1*01	NA	IGHJ2-5*01	6
111	IGHV4-9*01	NA	IGHJ2-1*01	5
112	IGHV7-1*01	IGHD2-5*01	IGHJ2-1*01	5
113	IGHV4-3*01	IGHD2-5*01	IGHJ2-1*01	4
114	IGHV9-3*01	NA	IGHJ2-1*01	4
115	IGHV4-5*01	NA	IGHJ2-2*01	4
116	IGHV8-1*01	NA	IGHJ2-1*01	4
117	IGHV11-2*01	IGHD2-4*01	IGHJ2-5*01	3
118	IGHV8-3*01	NA	IGHJ2-3*01	3
119	IGHV5-7*01	NA	IGHJ2-3*01	3
120	IGHV4-5*01	NA	IGHJ2-5*01	3
121	IGHV4-8*01	NA	IGHJ2-3*01	3
122	IGHV7-1*01	IGHD2-5*01	IGHJ2-3*01	3
123	IGHV3-2*01	NA	IGHJ2-1*01	3
124	IGHV8-3*01	IGHD2-5*01	IGHJ2-5*01	3
125	IGHV1-4*01	NA	IGHJ2-3*01	3
126	IGHV2-1*01	IGHD2-4*01	IGHJ2-1*01	3
127	IGHV10-1*01	NA	IGHJ2-5*01	3
128	IGHV11-1*01	NA	IGHJ2-5*01	2
