	nucl_len
0	3277
10	1
11	7
13	1
14	1
15	3
16	1
17	5
18	8
19	20
20	5
21	39
22	8
23	69
24	202
25	28
26	139
27	1548
28	92
29	438
30	47608
31	278
32	452
33	5323
34	120
35	193
36	1847
37	66
38	75
39	516
40	46
41	22
42	28
43	2
44	2
45	4
