	nucl_len
11.0	1
18.0	3
19.0	2
20.0	2
21.0	35
23.0	6
24.0	140
25.0	3
26.0	14
27.0	969
28.0	6
29.0	48
30.0	5158
31.0	46
32.0	52
33.0	2969
34.0	22
35.0	75
36.0	18885
37.0	115
38.0	23
39.0	410
40.0	7
41.0	6
42.0	112
43.0	5
45.0	7
48.0	2
