	vj_ins_len
0	181
1	198
2	334
3	955
4	896
5	1551
6	1775
7	1628
8	1441
9	1247
10	1230
11	896
12	701
13	566
14	567
15	222
16	93
17	45
18	1548
19	27
20	12
21	6
22	2
24	3
28	1
