	v_del_len
0	31948
1	3438
2	4136
3	3301
4	16714
5	2199
6	396
7	141
8	29
9	80
10	6
11	9
12	12
13	9
14	14
15	3
16	4
17	6
18	3
20	1
21	3
22	1
24	1
25	1
27	10
28	2
35	1
117	1
120	1
160	3
208	1
